Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Local-5,10,10,42557,1 mib,632787,16570736.667173,19,18,521,4,5677
HTTP/1,HTTP,Local-5,10,21,1076127,512 kib,347444,15089817.119204,19,23,1119,17592186044415,5673
HTTP/1,HTTP,Local-5,10,23,1063912,8 mib,1188850,70560663.430768,59,108,1740,17592186044403,5698
HTTP/1,HTTP,Local-5,10,24,43150,16 kib,511454,320341.551666,0,1,440,0,1719
HTTP/1,HTTP,Local-5,10,4,1076131,16 kib,687709,238240.302221,14,18,1384,17592186044414,5674
HTTP/1,HTTP,Local-5,10,4,1082916,32 mib,3915238,85702144.873276,122,371,3870,17592186044413,5744
HTTP/1,HTTP,Local-5,10,4,1335463,512 kib,851826,6154871.281826,2,6,1738,17592186044415,1604
HTTP/1,HTTP,Local-5,10,4,1340936,1 kib,477605,21440.284620,1,2,1448,0,1719
HTTP/1,HTTP,Local-5,10,4,272811,2 mib,450953,46504890.753582,10,18,561,17592186044414,5678
HTTP/1,HTTP,Local-5,10,4,274602,2 mib,510492,41080988.324795,8,21,613,17592186044412,1606
HTTP/1,HTTP,Local-5,10,4,41649,16 kib,480158,341220.375172,5,7,410,17592186044415,5675
HTTP/1,HTTP,Local-5,10,4,41660,32 kib,459612,712948.562745,14,9,389,2,5676
HTTP/1,HTTP,Local-5,10,4,41806,1 kib,210051,48749.879792,1,2,199,17592186044415,5670
HTTP/1,HTTP,Local-5,10,4,41823,8 mib,981030,85508143.836128,29,79,786,18,5705
HTTP/1,HTTP,Local-5,10,4,41837,64 kib,251878,2601892.502011,7,17,214,17592186044415,5675
HTTP/1,HTTP,Local-5,10,4,42112,512 b,435150,11766.036050,9,7,374,17592186044415,5670
HTTP/1,HTTP,Local-5,10,4,42304,32 b,891537,358.930660,18,10,730,17592186044415,5674
HTTP/1,HTTP,Local-5,10,4,42537,4 kib,209392,195613.781220,1,2,196,0,5670
HTTP/1,HTTP,Local-5,10,4,42663,8 kib,238787,343066.103042,1,1,223,0,1719
HTTP/1,HTTP,Local-5,10,4,42827,256 b,664262,3853.898120,3,4,558,17592186044414,5673
HTTP/1,HTTP,Local-5,10,4,43234,16 mib,2136479,78527390.503864,37,139,1699,17592186044412,1652
HTTP/1,HTTP,Local-5,10,4,43357,256 b,228487,11204.104203,0,1,215,17592186044415,1720
HTTP/1,HTTP,Local-5,10,4,44117,8 mib,1604287,52288676.152039,25,81,1286,17592186044411,1631
HTTP/1,HTTP,Local-5,10,4,44777,2 mib,1197067,17519075.988768,8,22,973,0,1607
HTTP/1,HTTP,Local-5,10,4,45636,32 b,252240,1268.632545,0,2,236,0,1720
HTTP/1,HTTP,Local-5,10,4,49348,128 b,231810,5521.758749,1,1,223,0,1720
HTTP/1,HTTP,Local-5,10,4,50962,4 kib,251663,162757.079496,1,1,239,0,1719
HTTP/1,HTTP,Local-5,10,5,1045534,64 mib,8837605,75935569.835718,223,694,7661,17592186044410,5695
HTTP/1,HTTP,Local-5,10,5,1063007,512 b,436459,11730.750857,21,24,1169,17592186044414,5670
HTTP/1,HTTP,Local-5,10,5,1074212,64 kib,275230,2381131.451638,14,17,1056,17592186044414,5675
HTTP/1,HTTP,Local-5,10,5,1087454,64 mib,7214707,93016749.466281,200,653,6420,34,5726
HTTP/1,HTTP,Local-5,10,5,263308,128 b,209801,6101.002090,5,6,368,0,5675
HTTP/1,HTTP,Local-5,10,5,264522,1 mib,618947,16941280.784325,15,18,685,2,5672
HTTP/1,HTTP,Local-5,10,5,270089,64 b,656724,974.533610,12,32,704,0,5675
HTTP/1,HTTP,Local-5,10,5,270299,32 kib,234628,1396590.780745,5,4,395,17592186044415,5673
HTTP/1,HTTP,Local-5,10,5,271566,4 kib,885897,46235.618110,17,12,911,0,5670
HTTP/1,HTTP,Local-5,10,5,272163,16 kib,263198,622495.712363,1,2,426,0,1719
HTTP/1,HTTP,Local-5,10,5,282430,32 mib,4496658,74620812.885372,61,311,3742,13,1646
HTTP/1,HTTP,Local-5,10,5,283765,512 b,470149,10890.143761,1,2,600,0,1720
HTTP/1,HTTP,Local-5,10,5,41562,512 kib,805500,6508850.028839,8,13,665,0,5673
HTTP/1,HTTP,Local-5,10,5,41618,64 b,431425,1483.455645,9,5,371,17592186044415,5674
HTTP/1,HTTP,Local-5,10,5,41762,128 kib,520503,2518178.078794,8,10,436,17592186044415,5675
HTTP/1,HTTP,Local-5,10,5,41869,256 kib,349823,7493605.348524,4,9,308,17592186044415,5671
HTTP/1,HTTP,Local-5,10,5,41869,8 kib,436688,187593.673751,8,9,372,0,5669
HTTP/1,HTTP,Local-5,10,5,41887,16 kib,231304,708330.361061,7,5,213,0,5674
HTTP/1,HTTP,Local-5,10,5,41908,32 b,1120435,285.603283,10,14,916,17592186044415,5675
HTTP/1,HTTP,Local-5,10,5,41909,64 mib,7000120,95868158.151511,189,660,5454,17592186044371,5702
HTTP/1,HTTP,Local-5,10,5,41950,2 kib,875966,23379.889528,9,8,723,17592186044415,5670
HTTP/1,HTTP,Local-5,10,5,41951,8 mib,2851840,29414715.534943,61,113,2240,17592186044405,5688
HTTP/1,HTTP,Local-5,10,5,41953,2 kib,207307,98790.444147,2,3,195,17592186044415,5670
HTTP/1,HTTP,Local-5,10,5,42007,4 mib,825224,50826211.433833,19,39,670,17592186044411,5681
HTTP/1,HTTP,Local-5,10,5,42008,2 kib,207200,98841.269512,5,11,189,0,5670
HTTP/1,HTTP,Local-5,10,5,42009,4 kib,431937,94828.556175,5,3,373,17592186044415,5670
HTTP/1,HTTP,Local-5,10,5,42018,2 kib,207921,98498.807001,7,4,195,0,5671
HTTP/1,HTTP,Local-5,10,5,42044,128 b,206519,6197.958935,1,2,196,17592186044415,5674
HTTP/1,HTTP,Local-5,10,5,42057,1 kib,429823,23823.710129,2,2,371,0,5670
HTTP/1,HTTP,Local-5,10,5,42076,1 mib,1090163,9618519.642373,13,20,884,17592186044414,5674
HTTP/1,HTTP,Local-5,10,5,42149,8 mib,1395699,60103265.803978,128,86,1117,12,5711
HTTP/1,HTTP,Local-5,10,5,42158,64 kib,271201,2416509.372565,4,6,242,0,5676
HTTP/1,HTTP,Local-5,10,5,42173,16 mib,2115824,79293979.316907,50,191,1678,17592186044403,5724
HTTP/1,HTTP,Local-5,10,5,42183,2 mib,670210,31290949.827099,12,25,549,17592186044414,5679
HTTP/1,HTTP,Local-5,10,5,42183,2 mib,675362,31052260.705775,19,27,555,2,5680
HTTP/1,HTTP,Local-5,10,5,42338,64 kib,256573,2554278.814561,9,21,221,17592186044415,5676
HTTP/1,HTTP,Local-5,10,5,42420,32 mib,3976090,84390522.236908,66,332,3142,73,1725
HTTP/1,HTTP,Local-5,10,5,42470,16 mib,2176172,77095079.015120,42,150,1737,17592186044410,1657
HTTP/1,HTTP,Local-5,10,5,42500,512 kib,346304,15139508.727146,4,5,303,17592186044413,5670
HTTP/1,HTTP,Local-5,10,5,42508,1 kib,207128,49437.861581,13,5,194,0,5670
HTTP/1,HTTP,Local-5,10,5,42580,512 b,659958,7758.060049,6,6,556,17592186044414,5672
HTTP/1,HTTP,Local-5,10,5,42591,32 mib,3490871,96120496.207294,102,325,2733,3,5747
HTTP/1,HTTP,Local-5,10,5,42600,32 b,896310,357.019016,9,8,736,17592186044415,5675
HTTP/1,HTTP,Local-5,10,5,42612,256 b,241225,10612.472308,0,1,223,0,1720
HTTP/1,HTTP,Local-5,10,5,42663,1 mib,837461,12520890.520062,20,36,671,4,5678
HTTP/1,HTTP,Local-5,10,5,42703,4 mib,861691,48675256.286707,21,50,694,8,5687
HTTP/1,HTTP,Local-5,10,5,42776,4 mib,861152,48705711.091324,13,28,707,0,1614
HTTP/1,HTTP,Local-5,10,5,42793,32 kib,477344,686463.812644,1,1,412,0,1719
HTTP/1,HTTP,Local-5,10,5,42816,64 mib,7672705,87464404.017680,98,506,6039,114,1840
HTTP/1,HTTP,Local-5,10,5,42819,32 b,656384,487.519501,10,7,549,17592186044415,5676
HTTP/1,HTTP,Local-5,10,5,42831,8 mib,1040927,80587845.144214,23,71,840,8,1636
HTTP/1,HTTP,Local-5,10,5,42853,2 mib,678802,30894886.478729,16,23,562,2,5680
HTTP/1,HTTP,Local-5,10,5,42890,128 b,1155862,1107.397963,0,1,952,0,1720
HTTP/1,HTTP,Local-5,10,5,42901,128 b,465174,2751.654970,1,2,405,0,1720
HTTP/1,HTTP,Local-5,10,5,42948,16 mib,2500984,67082438.885674,40,161,1997,6,1667
HTTP/1,HTTP,Local-5,10,5,42980,128 kib,569807,2300285.622776,1,3,486,17592186044415,1603
HTTP/1,HTTP,Local-5,10,5,43008,1 kib,432660,23667.528544,2,3,377,17592186044415,5669
HTTP/1,HTTP,Local-5,10,5,43028,64 mib,7480998,89705762.657526,104,511,5887,10,1726
HTTP/1,HTTP,Local-5,10,5,43035,32 kib,235447,1391733.946408,4,3,219,0,5674
HTTP/1,HTTP,Local-5,10,5,43074,64 kib,276703,2368455.765829,0,2,252,0,1719
HTTP/1,HTTP,Local-5,10,5,43089,512 b,480560,10654.221205,0,2,416,0,1720
HTTP/1,HTTP,Local-5,10,5,43117,32 b,243386,1314.783923,1,2,227,0,1720
HTTP/1,HTTP,Local-5,10,5,43131,16 mib,1919993,87381638.258842,42,147,1531,17592186044412,1655
HTTP/1,HTTP,Local-5,10,5,43209,32 mib,4089355,82053101.910406,90,310,3207,17592186044395,5746
HTTP/1,HTTP,Local-5,10,5,43347,256 kib,531253,4934445.571340,12,12,445,17592186044415,5670
HTTP/1,HTTP,Local-5,10,5,43363,512 b,681725,7510.352037,1,3,574,17592186044415,1720
HTTP/1,HTTP,Local-5,10,5,43372,32 kib,497321,658889.539485,2,2,429,0,1719
HTTP/1,HTTP,Local-5,10,5,43389,4 kib,475292,86178.456732,1,1,411,0,1719
HTTP/1,HTTP,Local-5,10,5,43413,128 b,438391,2919.766638,1,3,381,17592186044414,5672
HTTP/1,HTTP,Local-5,10,5,43443,8 kib,229119,357542.211542,1,1,216,0,1719
HTTP/1,HTTP,Local-5,10,5,43668,8 kib,468352,174911.177917,1,3,405,17592186044415,1719
HTTP/1,HTTP,Local-5,10,5,43742,256 kib,824431,3179694.514304,3,5,689,17592186044415,1604
HTTP/1,HTTP,Local-5,10,5,43795,512 kib,562897,9314091.941412,10,7,476,17592186044415,5673
HTTP/1,HTTP,Local-5,10,5,43851,2 kib,714869,28648.593526,0,2,602,0,1719
HTTP/1,HTTP,Local-5,10,5,43899,2 kib,242743,84369.065225,1,1,227,0,1719
HTTP/1,HTTP,Local-5,10,5,43921,256 b,475279,5386.305403,1,1,412,0,1720
HTTP/1,HTTP,Local-5,10,5,43921,32 b,244115,1310.853292,0,1,227,0,1720
HTTP/1,HTTP,Local-5,10,5,44134,32 kib,491180,667127.053826,1,2,423,17592186044415,1719
HTTP/1,HTTP,Local-5,10,5,44265,4 kib,245462,166868.870237,1,1,228,0,1719
HTTP/1,HTTP,Local-5,10,5,44328,1 mib,700433,14970386.196548,5,7,583,17592186044415,1605
HTTP/1,HTTP,Local-5,10,5,44366,8 mib,1690855,49611619.680097,31,85,1345,17592186044408,5698
HTTP/1,HTTP,Local-5,10,5,44938,16 kib,486545,336741.581255,1,1,421,0,1719
HTTP/1,HTTP,Local-5,10,5,45002,8 mib,1514062,55404631.221985,23,74,1222,20,1639
HTTP/1,HTTP,Local-5,10,5,45133,64 mib,6931955,96810870.998968,104,580,5454,13,1739
HTTP/1,HTTP,Local-5,10,5,45190,256 kib,754145,3476038.718243,2,3,630,0,1604
HTTP/1,HTTP,Local-5,10,5,45533,8 mib,1266213,66249580.441837,18,76,1025,3,1633
HTTP/1,HTTP,Local-5,10,5,45842,64 kib,773017,847794.629202,0,1,649,0,1719
HTTP/1,HTTP,Local-5,10,5,45981,64 kib,752810,870551.550783,2,4,632,0,1719
HTTP/1,HTTP,Local-5,10,5,46054,4 kib,473729,86462.844302,1,1,412,0,1719
HTTP/1,HTTP,Local-5,10,5,46259,128 b,703537,1819.376301,0,1,596,0,1720
HTTP/1,HTTP,Local-5,10,5,46332,128 kib,342646,3825283.491879,1,2,306,0,1719
HTTP/1,HTTP,Local-5,10,5,46496,2 mib,1627515,12885600.687526,13,28,1313,0,1607
HTTP/1,HTTP,Local-5,10,5,46846,16 mib,2240847,74869948.775638,40,157,1787,17592186044415,1658
HTTP/1,HTTP,Local-5,10,5,47049,1 mib,1523796,6881338.362351,9,16,1238,17592186044415,1604
HTTP/1,HTTP,Local-5,10,5,47066,8 kib,469738,174394.976948,0,2,411,0,1719
HTTP/1,HTTP,Local-5,10,5,47140,16 kib,489344,334815.247745,0,1,425,0,1719
HTTP/1,HTTP,Local-5,10,5,47255,64 mib,6688777,100330535.731970,103,513,5265,17592186044350,1749
HTTP/1,HTTP,Local-5,10,5,47885,256 b,480933,5322.983457,1,2,420,0,1720
HTTP/1,HTTP,Local-5,10,5,47976,128 kib,578294,2266527.222121,2,3,494,17592186044415,1603
HTTP/1,HTTP,Local-5,10,5,48195,32 b,464549,688.839699,1,2,408,0,1720
HTTP/1,HTTP,Local-5,10,5,49398,256 kib,1116973,2346913.333217,2,5,926,17592186044414,1603
HTTP/1,HTTP,Local-5,10,5,49961,512 kib,1122299,4671551.577810,3,6,925,17592186044415,1603
HTTP/1,HTTP,Local-5,10,5,500236,16 kib,251293,651986.621222,1,2,599,17592186044415,1719
HTTP/1,HTTP,Local-5,10,5,506497,16 mib,2239795,74905134.183697,38,170,2150,28,1661
HTTP/1,HTTP,Local-5,10,6,1060687,64 b,231819,2760.767424,1,1,1028,17592186044415,1720
HTTP/1,HTTP,Local-5,10,6,1062674,512 kib,1394709,3759120.808777,4,7,1952,0,1603
HTTP/1,HTTP,Local-5,10,6,1068116,32 mib,4115454,81532741.374471,118,404,4007,33,5762
HTTP/1,HTTP,Local-5,10,6,1070396,64 mib,8124964,82595889.869840,104,592,7208,53,1728
HTTP/1,HTTP,Local-5,10,6,1081453,2 mib,1205180,17401145.919731,9,25,1808,17592186044411,1606
HTTP/1,HTTP,Local-5,10,6,1088043,4 kib,486003,84279.263124,1,5,1249,17592186044415,1719
HTTP/1,HTTP,Local-5,10,6,1088420,1 kib,653933,15659.089390,24,30,1351,0,5670
HTTP/1,HTTP,Local-5,10,6,1089607,512 b,655284,7813.398941,25,17,1365,0,5673
HTTP/1,HTTP,Local-5,10,6,1092596,256 b,211417,12108.742181,11,14,1024,17592186044414,5672
HTTP/1,HTTP,Local-5,10,6,1098221,128 kib,1226596,1068582.863232,6,10,1843,17592186044415,1718
HTTP/1,HTTP,Local-5,10,6,1100700,256 b,934171,2740.397636,2,5,1622,17592186044415,1720
HTTP/1,HTTP,Local-5,10,6,1103529,32 b,1179594,271.279618,1,2,1818,0,1720
HTTP/1,HTTP,Local-5,10,6,1107732,32 b,700270,456.966142,1,2,1440,0,1719
HTTP/1,HTTP,Local-5,10,6,1108776,16 kib,726388,225554.107449,1,2,1462,0,1719
HTTP/1,HTTP,Local-5,10,6,1115361,64 kib,526021,1245880.397307,2,3,1307,17592186044415,1719
HTTP/1,HTTP,Local-5,10,6,1286904,256 kib,341407,7678340.608617,23,17,1278,2,5673
HTTP/1,HTTP,Local-5,10,6,263913,512 b,207890,24628.338174,1,2,372,0,5670
HTTP/1,HTTP,Local-5,10,6,269694,4 mib,1256949,33368911.529945,16,49,1191,2,1618
HTTP/1,HTTP,Local-5,10,6,269999,1 mib,650447,16120832.448046,5,11,721,0,1604
HTTP/1,HTTP,Local-5,10,6,270448,4 mib,1138265,36848217.519803,15,40,1103,0,1618
HTTP/1,HTTP,Local-5,10,6,272837,128 kib,417922,3136277.517682,2,3,547,0,1603
HTTP/1,HTTP,Local-5,10,6,273479,128 b,691480,1851.100378,0,1,768,17592186044415,1720
HTTP/1,HTTP,Local-5,10,6,273536,32 kib,502597,651972.611102,0,2,615,0,1719
HTTP/1,HTTP,Local-5,10,6,274463,2 kib,230590,88815.415719,1,1,401,0,1719
HTTP/1,HTTP,Local-5,10,6,275942,16 kib,751250,218089.647038,0,2,816,0,1719
HTTP/1,HTTP,Local-5,10,6,278412,4 kib,711104,57600.551705,1,2,788,0,1719
HTTP/1,HTTP,Local-5,10,6,278414,64 b,241971,2644.938497,0,2,413,0,1720
HTTP/1,HTTP,Local-5,10,6,283650,256 b,237804,10765.154373,0,1,413,0,1720
HTTP/1,HTTP,Local-5,10,6,284262,32 kib,521746,628044.702952,0,1,638,0,1719
HTTP/1,HTTP,Local-5,10,6,41740,4 kib,656040,62435.207848,7,12,545,17592186044415,5669
HTTP/1,HTTP,Local-5,10,6,41852,128 kib,300517,4361540.102297,3,7,266,17592186044415,5674
HTTP/1,HTTP,Local-5,10,6,41910,2 mib,1130124,18556817.795698,66,30,910,17592186044414,5678
HTTP/1,HTTP,Local-5,10,6,41911,256 b,437831,5847.003559,7,8,375,0,5672
HTTP/1,HTTP,Local-5,10,6,41921,64 b,211214,3030.102171,6,7,193,0,5675
HTTP/1,HTTP,Local-5,10,6,41940,128 kib,523600,2503283.994162,6,5,443,17592186044415,5675
HTTP/1,HTTP,Local-5,10,6,41946,8 kib,438692,186736.851031,2,3,377,17592186044415,5670
HTTP/1,HTTP,Local-5,10,6,41956,16 mib,1854457,90469695.441846,58,179,1473,5,5727
HTTP/1,HTTP,Local-5,10,6,41984,256 b,434514,5891.630364,3,5,374,17592186044415,5673
HTTP/1,HTTP,Local-5,10,6,42022,4 mib,611632,68575569.247149,22,38,500,17592186044415,5686
HTTP/1,HTTP,Local-5,10,6,42032,128 b,208475,6139.810194,14,7,192,1,5675
HTTP/1,HTTP,Local-5,10,6,42072,512 kib,352648,14867142.607603,10,11,304,1,5674
HTTP/1,HTTP,Local-5,10,6,42105,2 mib,1187803,17655714.939382,10,21,969,0,1607
HTTP/1,HTTP,Local-5,10,6,42116,16 mib,2240181,74892220.781763,57,185,1772,47,5736
HTTP/1,HTTP,Local-5,10,6,42164,128 b,430505,2973.247509,4,4,371,17592186044414,5674
HTTP/1,HTTP,Local-5,10,6,42222,64 b,701218,912.696579,0,2,591,0,1720
HTTP/1,HTTP,Local-5,10,6,42239,32 b,212560,1505.454450,4,3,199,0,5674
HTTP/1,HTTP,Local-5,10,6,42278,16 mib,2294263,73126814.743836,57,177,1818,1,5729
HTTP/1,HTTP,Local-5,10,6,42335,32 kib,230678,1420507.625128,6,5,211,0,5675
HTTP/1,HTTP,Local-5,10,6,42340,256 kib,325304,8058411.680369,5,7,286,17592186044413,5671
HTTP/1,HTTP,Local-5,10,6,42437,128 kib,302273,4336206.890848,3,5,271,17592186044415,5675
HTTP/1,HTTP,Local-5,10,6,42437,128 kib,979883,1337628.947780,16,11,800,0,5675
HTTP/1,HTTP,Local-5,10,6,42449,1 mib,395430,26517354.141731,6,11,337,17592186044414,5675
HTTP/1,HTTP,Local-5,10,6,42489,256 kib,401210,6533831.891612,2,3,349,0,1604
HTTP/1,HTTP,Local-5,10,6,42495,32 kib,481369,680723.908994,2,4,412,17592186044415,5674
HTTP/1,HTTP,Local-5,10,6,42576,8 kib,208522,392858.530166,11,3,195,5,5675
HTTP/1,HTTP,Local-5,10,6,42589,16 kib,497369,329413.373170,0,2,429,0,1719
HTTP/1,HTTP,Local-5,10,6,42690,32 mib,4044648,82960071.387169,100,356,3174,4,5767
HTTP/1,HTTP,Local-5,10,6,42764,8 kib,241843,338732.012615,0,1,224,0,1719
HTTP/1,HTTP,Local-5,10,6,42790,512 b,231787,22089.179020,1,1,218,17592186044415,1720
HTTP/1,HTTP,Local-5,10,6,42804,512 b,249482,20522.514441,1,1,232,0,1720
HTTP/1,HTTP,Local-5,10,6,42806,64 b,939345,681.325165,1,1,782,0,1720
HTTP/1,HTTP,Local-5,10,6,42827,32 mib,4880213,68756079.524478,65,306,3850,34,1675
HTTP/1,HTTP,Local-5,10,6,42830,4 mib,1330004,31536025.455563,14,40,1078,3,1618
HTTP/1,HTTP,Local-5,10,6,42876,32 mib,4580513,73254740.396568,61,352,3619,17592186044404,1725
HTTP/1,HTTP,Local-5,10,6,42894,64 kib,276917,2366625.438985,6,4,250,0,5675
HTTP/1,HTTP,Local-5,10,6,42931,16 kib,229155,714974.580524,6,7,209,0,5676
HTTP/1,HTTP,Local-5,10,6,42945,8 kib,932183,87879.712070,1,2,777,0,1719
HTTP/1,HTTP,Local-5,10,6,42977,16 mib,2280447,73569853.911542,70,173,1794,0,5727
HTTP/1,HTTP,Local-5,10,6,43030,2 mib,1158450,18103082.894716,11,28,940,17592186044415,1606
HTTP/1,HTTP,Local-5,10,6,43117,8 kib,926241,88443.485347,1,2,771,0,1719
HTTP/1,HTTP,Local-5,10,6,43176,64 mib,8027124,83602622.174419,105,552,6306,8,1747
HTTP/1,HTTP,Local-5,10,6,43247,256 kib,593093,4419945.394763,2,4,503,0,1603
HTTP/1,HTTP,Local-5,10,6,43264,64 mib,6799352,98698906.953240,185,671,5291,17592186044383,5694
HTTP/1,HTTP,Local-5,10,6,43271,128 b,239421,5346.224417,0,1,224,0,1720
HTTP/1,HTTP,Local-5,10,6,43275,4 mib,609750,68787250.910291,15,42,505,4,5686
HTTP/1,HTTP,Local-5,10,6,43365,8 kib,212921,384743.637311,2,3,201,0,5669
HTTP/1,HTTP,Local-5,10,6,43373,32 kib,266003,1231863.027418,0,1,243,0,1719
HTTP/1,HTTP,Local-5,10,6,43386,4 kib,461253,88801.455685,0,1,399,0,1719
HTTP/1,HTTP,Local-5,10,6,43403,1 kib,473465,21627.754661,1,1,411,0,1719
HTTP/1,HTTP,Local-5,10,6,43456,4 mib,904952,46348333.199809,16,30,736,10,1618
HTTP/1,HTTP,Local-5,10,6,43468,256 kib,1284197,2041305.474904,3,4,1052,0,1604
HTTP/1,HTTP,Local-5,10,6,43510,1 mib,914719,11463362.425679,4,11,753,17592186044415,1603
HTTP/1,HTTP,Local-5,10,6,43541,1 mib,889885,11783274.042907,5,10,735,2,1606
HTTP/1,HTTP,Local-5,10,6,43635,4 mib,660741,63478762.414276,13,37,549,0,1616
HTTP/1,HTTP,Local-5,10,6,43699,32 kib,720968,454499.997989,1,1,607,0,1719
HTTP/1,HTTP,Local-5,10,6,43759,4 mib,1824957,22983017.854823,15,43,1470,2,1617
HTTP/1,HTTP,Local-5,10,6,43772,256 kib,379142,6914124.945568,1,3,331,0,1604
HTTP/1,HTTP,Local-5,10,6,43808,16 mib,2701776,62096974.927647,35,122,2146,17592186044392,1644
HTTP/1,HTTP,Local-5,10,6,43818,64 mib,8790024,76346616.822893,101,550,6920,63,1811
HTTP/1,HTTP,Local-5,10,6,43847,64 b,249969,2560.316455,1,1,232,0,1720
HTTP/1,HTTP,Local-5,10,6,43880,64 b,715648,894.294152,1,1,604,17592186044415,1720
HTTP/1,HTTP,Local-5,10,6,43882,128 kib,786698,1666102.282654,2,10,648,17592186044301,1604
HTTP/1,HTTP,Local-5,10,6,44014,4 mib,1361340,30810097.722047,15,35,1100,17592186044413,1615
HTTP/1,HTTP,Local-5,10,6,44064,1 mib,410496,25544097.341658,5,8,351,17592186044415,1603
HTTP/1,HTTP,Local-5,10,6,44099,8 mib,1036101,80963218.743808,22,72,838,9,1634
HTTP/1,HTTP,Local-5,10,6,44189,4 mib,1143048,36694003.204937,12,32,927,17592186044411,1613
HTTP/1,HTTP,Local-5,10,6,44233,32 mib,4355550,77038327.922919,67,317,3436,17592186044378,1628
HTTP/1,HTTP,Local-5,10,6,44284,32 mib,3948923,84971090.727440,66,345,3124,13,1737
HTTP/1,HTTP,Local-5,10,6,44324,1 kib,472858,21655.517811,1,1,410,0,1719
HTTP/1,HTTP,Local-5,10,6,44371,32 kib,268749,1219274.872288,0,2,247,0,1719
HTTP/1,HTTP,Local-5,10,6,44388,2 mib,969044,21641450.580010,8,22,795,3,1610
HTTP/1,HTTP,Local-5,10,6,44449,2 kib,233238,87807.078245,1,2,220,0,1719
