Protocol,Kind,Test Name,Files Count,Setup Time,TTFB,Size,Time,Goodput,CPU User,CPU System,CPU Total,Memory Diff,Memory Total
HTTP/1,HTTP,Local,10,4,1212,4 kib,3870,10583432.380756,0,0,4,0,1659
HTTP/1,HTTP,Local,10,4,1213,1 mib,41971,249833456.434205,3,6,31,17592186044415,1660
HTTP/1,HTTP,Local,10,4,1223,8 kib,3930,20844253.326887,0,0,3,0,1658
HTTP/1,HTTP,Local,10,4,1224,2 mib,80601,260187390.821026,6,12,61,17592186044415,1663
HTTP/1,HTTP,Local,10,4,1224,4 kib,4301,9522259.676857,0,1,4,0,1659
HTTP/1,HTTP,Local,10,4,1226,16 kib,4345,37707710.011507,0,1,4,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1233,8 mib,214699,390714268.747034,15,35,163,17592186044407,1672
HTTP/1,HTTP,Local,10,4,1236,4 mib,177489,236312263.402030,12,30,135,17592186044413,5645
HTTP/1,HTTP,Local,10,4,1244,8 kib,3838,21340558.001407,1,0,4,0,1658
HTTP/1,HTTP,Local,10,4,1251,1 mib,43923,238727244.579224,2,5,32,2,1661
HTTP/1,HTTP,Local,10,4,1252,2 kib,4104,4989523.948740,0,1,4,0,1659
HTTP/1,HTTP,Local,10,4,1259,256 b,3932,650952.271976,0,1,4,0,1669
HTTP/1,HTTP,Local,10,4,1260,512 kib,22295,235159452.792106,2,3,18,17592186044414,5641
HTTP/1,HTTP,Local,10,4,1263,2 mib,71295,294150930.428599,5,8,52,0,1664
HTTP/1,HTTP,Local,10,4,1271,256 b,3910,654597.524803,0,0,3,0,1669
HTTP/1,HTTP,Local,10,4,1273,512 kib,19461,269397528.453614,2,2,15,0,1659
HTTP/1,HTTP,Local,10,4,1276,64 kib,5558,117900190.695499,0,1,4,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1286,1 kib,4335,2361895.975089,0,1,5,0,1658
HTTP/1,HTTP,Local,10,4,1289,16 kib,4370,37485128.580580,0,0,3,0,1659
HTTP/1,HTTP,Local,10,4,1290,256 kib,12895,203281739.508049,2,1,11,0,1658
HTTP/1,HTTP,Local,10,4,1297,256 kib,15598,168062572.124631,2,2,12,0,5641
HTTP/1,HTTP,Local,10,4,1304,512 b,3003,1704734.634081,1,1,4,0,1669
HTTP/1,HTTP,Local,10,4,1306,2 mib,72737,288316666.162573,5,7,55,17592186044415,1661
HTTP/1,HTTP,Local,10,4,1313,8 kib,4069,20132215.969133,1,1,5,0,1658
HTTP/1,HTTP,Local,10,4,1320,512 b,3848,1330561.330561,0,0,3,0,1669
HTTP/1,HTTP,Local,10,4,1325,2 mib,83612,250817699.724683,5,14,61,2,5646
HTTP/1,HTTP,Local,10,4,1326,16 kib,4427,37004246.092691,0,1,4,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1337,64 mib,1343704,499431750.018829,65,215,1043,17592186044393,1904
HTTP/1,HTTP,Local,10,4,1342,128 kib,7862,166705246.422893,0,1,6,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1346,1 mib,44910,233480217.409214,3,6,33,0,1659
HTTP/1,HTTP,Local,10,4,1351,1 kib,3864,2649897.782263,0,1,4,0,1658
HTTP/1,HTTP,Local,10,4,1353,32 b,3843,83255.281507,0,0,3,0,1669
HTTP/1,HTTP,Local,10,4,1354,8 mib,200100,419220789.605197,10,28,151,17,1690
HTTP/1,HTTP,Local,10,4,1357,2 mib,70478,297559113.772285,5,10,53,17592186044411,1662
HTTP/1,HTTP,Local,10,4,1359,64 b,3385,189058.253574,0,1,4,0,1669
HTTP/1,HTTP,Local,10,4,1369,16 kib,5619,29157694.292680,1,1,6,17592186044414,5652
HTTP/1,HTTP,Local,10,4,1383,512 b,4282,1195619.176611,0,1,5,0,1669
HTTP/1,HTTP,Local,10,4,1385,4 mib,125867,333231162.561960,7,14,94,2,1665
HTTP/1,HTTP,Local,10,4,1389,4 kib,4683,8745782.978178,0,1,5,0,5660
HTTP/1,HTTP,Local,10,4,1389,8 kib,4376,18718581.482497,0,0,4,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1397,512 kib,24203,216620185.017622,2,2,17,0,1659
HTTP/1,HTTP,Local,10,4,1398,128 kib,8310,157722344.560365,0,2,8,17592186044415,1657
HTTP/1,HTTP,Local,10,4,1399,256 kib,13069,200584589.486571,1,2,10,0,1658
HTTP/1,HTTP,Local,10,4,1403,128 kib,7651,171295642.855276,1,1,6,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1411,8 kib,5728,14301675.977654,0,0,6,0,1658
HTTP/1,HTTP,Local,10,4,1420,512 kib,19689,266280670.211739,1,3,14,17592186044415,5643
HTTP/1,HTTP,Local,10,4,1430,32 mib,937016,358098548.296951,45,172,726,17592186044414,1836
HTTP/1,HTTP,Local,10,4,1432,512 b,4478,1143214.397356,0,1,4,0,1669
HTTP/1,HTTP,Local,10,4,1443,64 b,3543,180637.877505,0,1,4,0,5662
HTTP/1,HTTP,Local,10,4,1465,8 mib,230352,364163649.915977,14,33,175,17592186044395,1670
HTTP/1,HTTP,Local,10,4,1473,1 mib,42058,249312508.470305,2,6,32,1,1661
HTTP/1,HTTP,Local,10,4,1508,256 kib,11970,218988029.104397,1,3,10,17592186044415,5641
HTTP/1,HTTP,Local,10,4,1556,4 kib,4063,10080724.552077,0,1,4,17592186044415,1659
HTTP/1,HTTP,Local,10,4,1558,8 mib,211041,397486746.663685,14,29,160,15,1684
HTTP/1,HTTP,Local,10,4,1571,64 kib,5869,111657068.865642,0,0,4,0,1658
HTTP/1,HTTP,Local,10,4,1573,16 mib,536821,312528938.872012,26,89,409,33,1707
HTTP/1,HTTP,Local,10,4,1584,128 kib,9734,134652407.515846,1,2,9,0,1658
HTTP/1,HTTP,Local,10,4,1584,8 mib,229166,366048934.769205,15,40,173,17592186044415,5651
HTTP/1,HTTP,Local,10,4,1587,256 kib,13335,196579004.596822,1,2,10,17592186044415,1658
HTTP/1,HTTP,Local,10,4,1588,2 mib,61988,338313074.199247,5,9,47,2,1663
HTTP/1,HTTP,Local,10,4,1611,4 mib,153615,273039291.633521,7,25,117,1,5646
HTTP/1,HTTP,Local,10,4,1619,16 mib,501158,334768527.414569,28,82,385,4,1713
HTTP/1,HTTP,Local,10,4,1639,32 mib,887472,378089822.501542,45,146,686,6,1841
HTTP/1,HTTP,Local,10,4,1646,512 kib,23628,221887035.203101,2,4,17,17592186044414,5640
HTTP/1,HTTP,Local,10,4,1649,4 mib,111413,376462816.445045,8,12,83,6,1674
HTTP/1,HTTP,Local,10,4,1649,8 mib,210816,397910032.744085,13,35,161,17592186044413,5652
HTTP/1,HTTP,Local,10,4,1658,512 kib,22627,231702876.133571,2,4,18,0,1658
HTTP/1,HTTP,Local,10,4,1690,512 kib,22791,230037645.778671,1,4,16,1,5641
HTTP/1,HTTP,Local,10,4,1910,32 mib,962110,348758464.330879,46,159,744,4,1838
HTTP/1,HTTP,Local,10,4,2014,1 mib,46369,226134851.572693,2,6,36,17592186044415,1659
HTTP/1,HTTP,Local,10,4,2502,16 mib,498332,336666902.118424,25,80,381,3,1717
HTTP/1,HTTP,Local,10,4,2613,32 mib,922237,363837368.936904,44,164,712,1,1837
HTTP/1,HTTP,Local,10,4,971,2 kib,3419,5989354.857577,0,0,2,0,1659
HTTP/1,HTTP,Local,10,40,3208,1 mib,42947,244155819.964142,3,5,32,17592186044414,1659
HTTP/1,HTTP,Local,10,5,1008,8 kib,3791,21607364.228629,0,1,3,0,1658
HTTP/1,HTTP,Local,10,5,1078,4 kib,3011,13603002.225100,1,0,3,0,1659
HTTP/1,HTTP,Local,10,5,1109,4 kib,3342,12253567.475394,0,1,4,0,1659
HTTP/1,HTTP,Local,10,5,1117,512 b,5301,965837.279055,0,0,4,17592186044412,1666
HTTP/1,HTTP,Local,10,5,1134,8 mib,186588,449577493.170808,11,25,140,4,1674
HTTP/1,HTTP,Local,10,5,1136,64 kib,5139,127506906.883536,1,1,5,0,1658
HTTP/1,HTTP,Local,10,5,1143,8 kib,4662,17568465.976109,0,2,5,0,5660
HTTP/1,HTTP,Local,10,5,1157,1 kib,3973,2576943.402874,0,1,3,0,1658
HTTP/1,HTTP,Local,10,5,1158,2 kib,4501,4549493.513417,1,1,6,0,5660
HTTP/1,HTTP,Local,10,5,1159,64 b,3260,196312.996534,0,1,4,0,5662
HTTP/1,HTTP,Local,10,5,1163,8 kib,4785,17120167.189133,1,1,5,0,5653
HTTP/1,HTTP,Local,10,5,1166,2 kib,3814,5368423.811895,0,0,3,17592186044415,1659
HTTP/1,HTTP,Local,10,5,1167,16 kib,4618,35477793.897923,0,0,5,0,1658
HTTP/1,HTTP,Local,10,5,1171,2 mib,76427,274396130.208994,6,9,57,3,1666
HTTP/1,HTTP,Local,10,5,1173,1 mib,42729,245397463.590898,4,5,32,17592186044414,1659
HTTP/1,HTTP,Local,10,5,1177,2 mib,79218,264730416.165941,3,14,58,17592186044415,5642
HTTP/1,HTTP,Local,10,5,1179,256 kib,13510,194037009.622502,1,2,11,17592186044415,1658
HTTP/1,HTTP,Local,10,5,1183,512 b,3406,1502920.715061,0,1,3,0,5662
HTTP/1,HTTP,Local,10,5,1187,64 kib,5929,110529067.512185,0,1,5,17592186044415,1658
HTTP/1,HTTP,Local,10,5,1191,16 mib,469319,357479932.097373,25,82,361,22,1720
HTTP/1,HTTP,Local,10,5,1193,4 kib,4562,8978124.589014,0,0,4,0,5660
HTTP/1,HTTP,Local,10,5,1194,256 b,3973,644349.358168,0,1,4,0,5662
HTTP/1,HTTP,Local,10,5,1196,1 kib,3840,2666111.226828,1,1,5,0,1658
HTTP/1,HTTP,Local,10,5,1197,32 b,3673,87119.871498,0,1,4,0,1669
HTTP/1,HTTP,Local,10,5,1198,32 b,3715,86128.007752,0,0,3,0,1669
HTTP/1,HTTP,Local,10,5,1198,512 b,3301,1550951.169272,0,1,5,0,1669
HTTP/1,HTTP,Local,10,5,1212,64 kib,6718,97551391.018294,0,1,5,0,1658
HTTP/1,HTTP,Local,10,5,1216,512 b,6031,848933.030459,1,1,6,17592186044413,5660
HTTP/1,HTTP,Local,10,5,1220,256 kib,15605,167979648.461780,1,3,12,17592186044415,1659
HTTP/1,HTTP,Local,10,5,1221,128 b,3849,332553.910107,0,0,3,0,5662
HTTP/1,HTTP,Local,10,5,1221,32 kib,4472,73273703.041145,0,0,4,0,1658
HTTP/1,HTTP,Local,10,5,1228,128 b,3506,365088.419852,1,0,5,0,5662
HTTP/1,HTTP,Local,10,5,1228,128 kib,8775,149364694.084533,1,2,9,0,1658
HTTP/1,HTTP,Local,10,5,1228,256 b,3920,652977.936488,0,1,4,0,1669
HTTP/1,HTTP,Local,10,5,1229,1 kib,3030,3379314.896706,0,1,3,0,1659
HTTP/1,HTTP,Local,10,5,1232,32 kib,4995,65597661.802094,0,1,4,0,5641
HTTP/1,HTTP,Local,10,5,1234,16 mib,534845,313683644.105555,31,93,410,17592186044404,5678
HTTP/1,HTTP,Local,10,5,1241,64 b,3107,205933.457751,0,1,3,0,1669
HTTP/1,HTTP,Local,10,5,1246,512 kib,18514,283172381.014108,2,2,14,0,1659
HTTP/1,HTTP,Local,10,5,1252,32 b,3655,87541.719101,0,0,3,0,5662
HTTP/1,HTTP,Local,10,5,1252,64 mib,1301526,515616696.767226,61,213,1005,9,1911
